,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot
146,146,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859420.0,55.95359277777778,11.003388888888889,12.477777777777778,35.388888888889056,2020-01-01 07:17:00,248660000,5.162683225608082,2.6528732878770334,172.086111111111,-43.74551069558144,-26.512278854249985,0.3100424318868702,0.6899575681131298,0.1069608243700877,12.3,-0.014247551202137,37.19882064000017,1.8099317511111157,3.0034692358416843,5.804397881736449,60.0,0.0017077990200226971,0.06111111111110882,0.012962962962962917,-0.07287187324175697
152,152,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859480.0,55.956426,11.007055888888887,12.5,37.27777777777795,2020-01-01 07:18:00,248660000,4.786175503377919,2.4235941194384774,169.59722222222206,-43.3920213419358,-26.90889166383789,0.3446964601163477,0.6553035398836523,0.0977878318510193,12.3,-0.0159999999999999,37.21628956000017,-0.0614882177777786,2.960029930014269,5.3648191400001215,60.0,-0.005775671371579583,0.3148148148148155,0.0037037037037036904,-0.07326312362272125
158,158,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859540.0,55.95922188888889,11.010721888888888,12.5,37.855555555555725,2020-01-01 07:19:00,248660000,4.412686568316371,2.194568079146507,169.60808080808067,-42.98675165106219,-27.28238679711966,0.3796762419982012,0.6203237580017987,0.0886811846551202,12.3,-0.0159999999999999,37.30000000000017,-0.5555555555555571,2.9602194480896125,4.9282787871840705,60.0,-0.005829963646975596,0.09629629629629595,0.0,-0.07275672546934182
164,164,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859600.0,55.9619104,11.0146518,12.3,37.80000000000017,2020-01-01 07:20:00,248660000,4.045867134285827,1.9576507188590129,168.96363636363617,-42.66981688692056,-26.646253090772888,0.3575237344811821,0.6424762655188179,0.0816007667953665,12.3,0.0,37.40000000000017,-0.3999999999999986,2.94897177068787,4.49460089500096,60.0,0.003692084586169856,-0.009259259259259522,-0.033333333333333215,-0.07227964869718513
170,170,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859660.0,55.964567,11.018233,12.2,36.56000000000017,2020-01-01 07:21:00,248660000,3.682414590818536,1.732497848167362,170.8309090909089,-42.69366729554781,-26.377796843657897,0.3470704102512473,0.6529295897487527,0.0734744213995857,12.327047502,0.0104137296721312,37.40000000000017,0.8399999999999963,2.9815618278114733,4.069610056575174,60.0,0.0017422207049891392,-0.2066666666666658,-0.016666666666666902,-0.07083180640429765
176,176,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859720.0,55.9674,11.0218666,12.28,37.46000000000017,2020-01-01 07:22:00,248660000,3.309213092853058,1.5044050739294803,170.13090909090897,-42.54996198230008,-26.85229950108058,0.3680850262139064,0.6319149737860936,0.0641061424775563,12.38,0.0081433224755701,37.50000000000017,0.0399999999999991,2.969344523047514,3.6351239209103814,60.0,-0.003502435993776513,0.14999999999999977,0.013333333333333345,-0.07241435594413208
182,182,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859780.0,55.970067,11.0256998,12.3,37.84000000000017,2020-01-01 07:23:00,248660000,2.946059774143875,1.270463601296339,169.09636363636344,-42.45002598280368,-26.643009671143616,0.3631008658197278,0.6368991341802722,0.055896009733154,12.4,0.0081300813008129,37.327743650000166,-0.5122563500000012,2.9512882986041533,3.2083244778306828,60.0,0.0008306933990297657,0.06333333333333258,0.003333333333333558,-0.07113324051328311
188,188,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859840.0,55.972752,11.029375,12.3,37.28000000000017,2020-01-01 07:24:00,248660000,2.5828994153485745,1.0414801727198515,170.41090909090894,-42.4327281494285,-26.76709376491558,0.371310428489387,0.628689571510613,0.0470506813376867,12.4,0.0081300813008129,37.124940376000175,-0.1550596239999961,2.974231444953098,2.784968642548167,60.0,-0.0013682604449432034,-0.09333333333333253,0.0,-0.07055930588041932
194,194,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859900.0,55.9755656,11.033049,12.3,37.40000000000017,2020-01-01 07:25:00,248660000,2.2137128377608706,0.8103475427556642,171.22727272727252,-42.19846929610621,-27.187804644779607,0.3873842054466149,0.612615794553385,0.0379149195417305,12.4,0.0081300813008129,37.243291400000174,-0.1567085999999946,2.988479678301196,2.357368801888544,60.0,-0.002678962826204667,0.019999999999999574,0.0,-0.07126664010993711
200,200,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577859960.0,55.978233,11.0366998,12.4,37.50000000000017,2020-01-01 07:26:00,248660000,1.8547048420233616,0.5783425886017544,171.0909090909089,-42.19569622385043,-27.248427293148566,0.388761909850163,0.611238090149837,0.0293487270671264,12.4,0.0,37.409571750000175,-0.0904282499999951,2.9860996838666587,1.9427841364432337,60.0,-0.00022961740059133465,0.016666666666666902,0.016666666666666607,-0.06909744424088508
206,206,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577860020.0,55.981061,11.0405362,12.4,37.18000000000017,2020-01-01 07:27:00,248660000,1.4863177323904468,0.3403101988273975,171.74222222222204,-42.32454979421682,-27.341076813878097,0.3907642036328124,0.6092357963671875,0.020492341831196,12.4,0.0,37.32514954000017,0.1451495399999984,2.997467242469547,1.5247791423823396,60.0,-0.00033371563044158153,-0.05333333333333338,0.0,-0.06966749901014901
212,212,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577860080.0,55.98371436363636,11.044160909090907,12.4,37.27272727272744,2020-01-01 07:28:00,248660000,1.129409558448446,0.1084609592729421,171.69393939393922,-42.13986328461733,-27.306388068128307,0.3922906031967927,0.6077093968032072,0.0120447640014452,12.4,0.0,37.40000000000017,0.1272727272727323,2.9966245481438367,1.1346055395603887,60.0,-0.00025439992733004385,0.015454545454544425,0.0,-0.06502893380365848
